Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link
NTRK3,Neurotrophic Receptor Tyrosine Kinase 3,Protein Coding,Q16288,66,GC15M087859,24.7036972,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NTRK3
CDKN1A,Cyclin Dependent Kinase Inhibitor 1A,Protein Coding,P38936,63,GC06P190835,24.47933388,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDKN1A
MAP2K4,Mitogen-Activated Protein Kinase Kinase 4,Protein Coding,P45985,62,GC17P012020,24.28232384,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAP2K4
NEK2,NIMA Related Kinase 2,Protein Coding,P51955,62,GC01M211658,24.22875786,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NEK2
PLAT,"Plasminogen Activator, Tissue Type",Protein Coding,P00750,62,GC08M042174,24.1830616,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLAT
EGF,Epidermal Growth Factor,Protein Coding,P01133,64,GC04P109912,23.79650116,https://www.genecards.org/cgi-bin/carddisp.pl?gene=EGF
STAT3,Signal Transducer And Activator Of Transcription 3,Protein Coding,P40763,66,GC17M042313,23.60026741,https://www.genecards.org/cgi-bin/carddisp.pl?gene=STAT3
TSC2,TSC Complex Subunit 2,Protein Coding,P49815,64,GC16P128054,23.42118073,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TSC2
MUC1,"Mucin 1, Cell Surface Associated",Protein Coding,P15941,61,GC01M155185,23.26312256,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MUC1
VRK1,VRK Serine/Threonine Kinase 1,Protein Coding,Q99986,60,GC14P096797,22.95808983,https://www.genecards.org/cgi-bin/carddisp.pl?gene=VRK1
NOTCH1,Notch Receptor 1,Protein Coding,P46531,66,GC09M139438,22.93794823,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NOTCH1
EZH2,Enhancer Of Zeste 2 Polycomb Repressive Complex 2 Subunit,Protein Coding,Q15910,66,GC07M148807,22.82070732,https://www.genecards.org/cgi-bin/carddisp.pl?gene=EZH2
ITCH,Itchy E3 Ubiquitin Protein Ligase,Protein Coding,Q96J02,60,GC20P034363,22.76307297,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ITCH
PAH,Phenylalanine Hydroxylase,Protein Coding,P00439,60,GC12M102836,22.75432396,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PAH
PARP1,Poly(ADP-Ribose) Polymerase 1,Protein Coding,P09874,65,GC01M226360,22.59513092,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PARP1
KDM6A,Lysine Demethylase 6A,Protein Coding,O15550,60,GC0XP044873,22.49063492,https://www.genecards.org/cgi-bin/carddisp.pl?gene=KDM6A
KMT2A,Lysine Methyltransferase 2A,Protein Coding,Q03164,60,GC11P118436,22.42267227,https://www.genecards.org/cgi-bin/carddisp.pl?gene=KMT2A
ABCB1,ATP Binding Cassette Subfamily B Member 1,Protein Coding,P08183,64,GC07M087504,22.04152489,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCB1
NRG1,Neuregulin 1,Protein Coding,Q02297,60,GC08P031639,21.99197006,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NRG1
SMO,"Smoothened, Frizzled Class Receptor",Protein Coding,Q99835,65,GC07P167853,21.48389053,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMO
NF2,"NF2, Moesin-Ezrin-Radixin Like (MERLIN) Tumor Suppressor",Protein Coding,P35240,62,GC22P029603,21.06258965,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NF2
ABCC6,ATP Binding Cassette Subfamily C Member 6,Protein Coding,O95255,60,GC16M052674,21.02381134,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCC6
MAPK1,Mitogen-Activated Protein Kinase 1,Protein Coding,P28482,66,GC22M021759,20.95448494,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPK1
MTHFR,Methylenetetrahydrofolate Reductase,Protein Coding,P42898,61,GC01M011785,20.63396645,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MTHFR
PTGS2,Prostaglandin-Endoperoxide Synthase 2,Protein Coding,P35354,63,GC01M186671,20.56801796,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTGS2
GSTP1,Glutathione S-Transferase Pi 1,Protein Coding,P09211,63,GC11P067583,20.53974152,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GSTP1
WRN,WRN RecQ Like Helicase,Protein Coding,Q14191,60,GC08P031033,20.41551208,https://www.genecards.org/cgi-bin/carddisp.pl?gene=WRN
WT1,WT1 Transcription Factor,Protein Coding,P19544,60,GC11M032365,20.31781197,https://www.genecards.org/cgi-bin/carddisp.pl?gene=WT1
CYP1A1,Cytochrome P450 Family 1 Subfamily A Member 1,Protein Coding,P04798,60,GC15M074719,20.29718781,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP1A1
MMP9,Matrix Metallopeptidase 9,Protein Coding,P14780,66,GC20P046008,20.25046349,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MMP9
ACVR1B,Activin A Receptor Type 1B,Protein Coding,P36896,60,GC12P051951,20.15073395,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACVR1B
IRAK4,Interleukin 1 Receptor Associated Kinase 4,Protein Coding,Q9NWZ3,61,GC12P043758,20.13883781,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IRAK4
CXCR4,C-X-C Motif Chemokine Receptor 4,Protein Coding,P61073,65,GC02M136114,19.95967102,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CXCR4
