Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link
SERPINE1,Serpin Family E Member 1,Protein Coding,P05121,63,GC07P101127,16.5326519,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SERPINE1
MAPK3,Mitogen-Activated Protein Kinase 3,Protein Coding,P27361,62,GC16M053300,16.48573303,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPK3
RAC1,Rac Family Small GTPase 1,Protein Coding,P63000,62,GC07P021715,16.47687531,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAC1
VEGFC,Vascular Endothelial Growth Factor C,Protein Coding,P49767,60,GC04M176683,16.20830154,https://www.genecards.org/cgi-bin/carddisp.pl?gene=VEGFC
PPARG,Peroxisome Proliferator Activated Receptor Gamma,Protein Coding,P37231,65,GC03P012287,16.15740776,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPARG
AKT2,AKT Serine/Threonine Kinase 2,Protein Coding,P31751,66,GC19M040230,16.15346909,https://www.genecards.org/cgi-bin/carddisp.pl?gene=AKT2
PIK3CG,"Phosphatidylinositol-4,5-Bisphosphate 3-Kinase Catalytic Subunit Gamma",Protein Coding,P48736,62,GC07P106865,16.10856247,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIK3CG
HDAC1,Histone Deacetylase 1,Protein Coding,Q13547,64,GC01P032292,16.05490112,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HDAC1
TCF7L2,Transcription Factor 7 Like 2,Protein Coding,Q9NQB0,60,GC10P112950,16.03402519,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TCF7L2
FOS,"Fos Proto-Oncogene, AP-1 Transcription Factor Subunit",Protein Coding,P01100,64,GC14P075278,16.00886345,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FOS
ERCC3,"ERCC Excision Repair 3, TFIIH Core Complex Helicase Subunit",Protein Coding,P19447,60,GC02M127257,15.99577808,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ERCC3
RPS6KB1,Ribosomal Protein S6 Kinase B1,Protein Coding,P23443,63,GC17P059893,15.85546017,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPS6KB1
MAPK14,Mitogen-Activated Protein Kinase 14,Protein Coding,Q16539,65,GC06P190827,15.85358429,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPK14
CASP9,Caspase 9,Protein Coding,P55211,61,GC01M036228,15.79627323,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CASP9
TNFSF11,TNF Superfamily Member 11,Protein Coding,O14788,62,GC13P042562,15.5946188,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNFSF11
LEPR,Leptin Receptor,Protein Coding,P48357,62,GC01P086456,15.50862885,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LEPR
DNMT1,DNA Methyltransferase 1,Protein Coding,P26358,66,GC19M010133,15.44637775,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DNMT1
LMNA,Lamin A/C,Protein Coding,P02545,63,GC01P156082,15.42699146,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LMNA
GRB2,Growth Factor Receptor Bound Protein 2,Protein Coding,P62993,60,GC17M075318,15.36142921,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GRB2
KDR,Kinase Insert Domain Receptor,Protein Coding,P35968,67,GC04M055078,15.30726528,https://www.genecards.org/cgi-bin/carddisp.pl?gene=KDR
RAF1,"Raf-1 Proto-Oncogene, Serine/Threonine Kinase",Protein Coding,P04049,67,GC03M012583,15.25849533,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAF1
NOS3,Nitric Oxide Synthase 3,Protein Coding,P29474,62,GC07P168341,15.1555109,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NOS3
CCNB1,Cyclin B1,Protein Coding,P14635,60,GC05P069167,15.0271883,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCNB1
